player_name,war_total
Ryan Anderson,3.743713308
Jalen Brunson,3.741497325
Cameron Johnson,3.739176545
Shabazz Napier,3.733120899
RJ Barrett,3.725062434
J.J. Barea,3.722594288
Tyus Jones,3.718874129
Otto Porter Jr.,3.716641601
Jrue Holiday,3.700148946
Evan Fournier,3.695526715
Andrew Wiggins,3.695434525
Fred VanVleet,3.688588564
Justin Holiday,3.680116113
Jae'Sean Tate,3.679991352
Lou Williams,3.671614216
Kirk Hinrich,3.665575454
Andre Iguodala,3.662230125
Alec Burks,3.656493599
Maurice Harkless,3.647645859
Tony Parker,3.644456823
Norman Powell,3.642968172
Dejounte Murray,3.635648097
Mike Conley,3.632311205
Raul Neto,3.631950934
Vince Carter,3.62836706
Nikola Vucevic,3.624689929
Kevin Huerter,3.623895532
Dion Waiters,3.615750626
Mikal Bridges,3.612177461
Cody Zeller,3.604943419
J.J. Barea,3.600320086
Nikola Mirotic,3.590372572
Channing Frye,3.589023952
Nikola Vucevic,3.577444011
Serge Ibaka,3.573566815
Jakob Poeltl,3.571877501
Michael Carter-Williams,3.559658854
Derek Fisher,3.555724549
Harrison Barnes,3.55432082
Jamal Crawford,3.552752212
Langston Galloway,3.552672756
Bogdan Bogdanovic,3.551854989
Gordon Hayward,3.550121831
Marvin Williams,3.543761298
Michael Kidd-Gilchrist,3.543698194
Brandon Jennings,3.54362379
Garrett Temple,3.539378331
Christian Wood,3.538356622
Jonathan Isaac,3.536367621
Ersan Ilyasova,3.535659338
Chris Boucher,3.531541841
Evan Fournier,3.531016081
Jarrett Allen,3.528934389
Monta Ellis,3.52887733
DeMar DeRozan,3.528724051
Clint Capela,3.523056969
Brandon Ingram,3.519150053
Nene,3.513710066
Jordan Clarkson,3.509546531
Dewayne Dedmon,3.508942943
Duncan Robinson,3.506954905
Aaron Gordon,3.505305488
Harrison Barnes,3.50200973
Terrence Ross,3.499231779
Rondae Hollis-Jefferson,3.498920853
Amir Johnson,3.49629554
Kenneth Faried,3.48187599
Maxi Kleber,3.479284187
Kentavious Caldwell-Pope,3.476403088
Terrence Ross,3.473579811
Patrick Beverley,3.468301937
Bojan Bogdanovic,3.464803691
Domantas Sabonis,3.463198727
Cory Joseph,3.457160564
Bam Adebayo,3.451223821
Greivis Vasquez,3.448279182
Donte DiVincenzo,3.440920775
Corey Brewer,3.438274316
Tim Hardaway Jr.,3.437307247
LaMarcus Aldridge,3.437144984
Ben McLemore,3.436960242
Joe Harris,3.432000633
DeMarre Carroll,3.429677673
Iman Shumpert,3.427341462
Terance Mann,3.426780338
Marc Gasol,3.423994657
Amir Johnson,3.419704864
Andrew Wiggins,3.413421304
Gordon Hayward,3.41240478
Rudy Gay,3.40774823
Trevor Ariza,3.406579318
De'Aaron Fox,3.406317138
Kristaps Porzingis,3.400759962
Gerald Henderson,3.400445536
DeMarre Carroll,3.399648468
Jason Terry,3.397750231
Kentavious Caldwell-Pope,3.388708417
Justin Holiday,3.383550437
Garrett Temple,3.379328662
Kris Dunn,3.376500942
Robert Covington,3.375306758
Jeff Teague,3.374670186
Malcolm Brogdon,3.369102846
Rudy Gay,3.368650884
Thabo Sefolosha,3.358694308
Nick Young,3.358380807
Markieff Morris,3.353891515
Nene,3.351833423
Tyler Johnson,3.348752161
Clint Capela,3.34418762
Jonathan Isaac,3.343099207
Omer Asik,3.34270881
Andray Blatche,3.340612585
DeMar DeRozan,3.330853721
Joe Johnson,3.330284075
Jae Crowder,3.329566729
Jared Sullinger,3.324432324
Aaron Holiday,3.313355349
Spencer Hawes,3.309651467
Alec Burks,3.30668063
Jusuf Nurkic,3.304759302
Marcus Smart,3.303962039
Evan Fournier,3.298900023
JaVale McGee,3.288138703
Marco Belinelli,3.2802432
Kyle Lowry,3.279187403
Tomas Satoransky,3.278048518
Myles Turner,3.277906101
Shaun Livingston,3.277846344
Andre Roberson,3.276088395
Chandler Parsons,3.269353877
Tyreke Evans,3.265940852
Chris Bosh,3.251513564
Nene,3.250597683
Bruce Brown,3.25042783
Alex Caruso,3.249303803
Rondae Hollis-Jefferson,3.24816332
Kelly Olynyk,3.245975147
Landry Shamet,3.243760557
Brook Lopez,3.24318167
Marvin Williams,3.239372847
Caris LeVert,3.2377486
Brandan Wright,3.237562956
Brandon Knight,3.234161928
Pascal Siakam,3.231959266
Jose Calderon,3.227670857
Wilson Chandler,3.21795918
D.J. Augustin,3.20136588
Terrence Ross,3.200569453
Jeremy Lin,3.199353837
James Johnson,3.198562771
Gerald Green,3.196730783
Darren Collison,3.196430131
Gary Harris,3.185504417
Paul Millsap,3.185385009
Nick Collison,3.184567052
Josh Hart,3.184483793
Aron Baynes,3.184373182
Jason Terry,3.183763466
Furkan Korkmaz,3.181670862
Josh Richardson,3.175196349
Jerami Grant,3.169332636
Jusuf Nurkic,3.164660626
Michael Carter-Williams,3.162085889
Jared Dudley,3.155698521
Ricky Rubio,3.155103278
Michael Porter Jr.,3.152774252
Davis Bertans,3.151628637
Devin Harris,3.132817638
David West,3.131764599
Kent Bazemore,3.130193167
James Johnson,3.128273592
Marc Gasol,3.126834057
Greg Monroe,3.120727459
Matisse Thybulle,3.11263617
Paul Millsap,3.111360557
Shelvin Mack,3.109258605
JaVale McGee,3.106983448
Trevor Ariza,3.103844513
Seth Curry,3.102354723
Josh Hart,3.10003116
Dennis Schroder,3.093708459
Terence Davis,3.084926696
Isaiah Stewart,3.080675539
Daniel Gafford,3.076922921
Kent Bazemore,3.074314934
Mason Plumlee,3.069865247
Patty Mills,3.06545826
Andre Drummond,3.062689292
Shai Gilgeous-Alexander,3.061202065
T.J. McConnell,3.060007649
Matt Barnes,3.059296318
Allen Crabbe,3.05477338
OG Anunoby,3.051082432
Tony Allen,3.045469198
Danuel House Jr.,3.045406621
Jordan Clarkson,3.042700568
Zach Randolph,3.041872698
Lonzo Ball,3.040284621
Rashard Lewis,3.038414469
Omri Casspi,3.022943019
Miles Bridges,3.021381937
Michael Carter-Williams,3.015189055
Enes Kanter,3.014779277
Derrick Rose,3.014725961
CJ McCollum,3.007713569
Cody Zeller,3.007366486
Caris LeVert,3.003925189
Nemanja Bjelica,2.993314755
Davis Bertans,2.991803851
Pascal Siakam,2.982601511
Julius Randle,2.98195984
Wayne Ellington,2.980229369
Mason Plumlee,2.979972246
DeMarcus Cousins,2.970450892
Rajon Rondo,2.970034398
JaMychal Green,2.968551485
De'Anthony Melton,2.965188067
Jared Dudley,2.962849237
Rodney Hood,2.961118914
